networkname,networkinstance,realparamnum,threshhold,gdtime,psotime,qcqptime,scatterclass
hepar2,1,1,0.999900,0.001,1.7852847576141357,0.027421,hepar2
hepar2,2,2,0.999500,0.001,1.792942762374878,0.029914,hepar2
hepar2,4,4,0.999200,0.002,1.8394994735717773,0.036226,hepar2
hepar2,8,8,0.999000,0.002,1.8952882289886475,0.052793,hepar2
hepar2,16,16,0.998900,0.002,1.8809483051300049,0.031821,hepar2
hepar2,32,32,0.998800,0.034,2.5718185901641846,15.775101,hepar2
hepar2,64,64,0.998700,0.026,2.999939203262329,31.816881,hepar2
hepar2,128,128,0.998600,0.054,3.490770101547241,59.878325,hepar2
hepar2,256,256,0.100000,3.661,56.95721387863159,15.929323,hepar2
hepar2,512,256,0.050000,3.617,10000,16.289964,hepar2
win95pts,1,1,0.999800,0.001,1.5486400127410889,0.026155,win95pts
win95pts,2,2,0.999600,0.000,1.5519371032714844,0.025160,win95pts
win95pts,4,4,0.998000,0.001,1.537994623184204,0.406816,win95pts
win95pts,8,8,0.997500,0.006,1.6940851211547852,0.403473,win95pts
win95pts,32,32,0.972100,0.252,4.877050876617432,5.655137,win95pts
win95pts,64,64,0.900000,0.504,5.255910873413086,9.706276,win95pts
win95pts,128,128,0.100000,1.928,10000,10000.000000,win95pts
win95pts,256,256,0.050000,3.605,56.170939207077026,10000.000000,win95pts
win95pts,512,326,0.020000,4.365,10000,10000.000000,win95pts
alarm,1,1,0.992000,0.000,0.2343001365661621,0.023238,alarm
alarm,2,2,0.991700,0.000,0.2258152961730957,0.026850,alarm
alarm,4,4,0.991500,0.001,0.24192166328430176,0.545139,alarm
alarm,8,8,0.990000,0.002,0.35374903678894043,0.027633,alarm
alarm,16,16,0.989200,0.010,10000,0.889363,alarm
alarm,32,32,0.921000,0.286,10000,18.051600,alarm
alarm,64,64,0.100000,0.863,10000,10000.000000,alarm
alarm,128,128,0.050000,1.228,10000,50.646556,alarm
alarm,256,210,0.020000,1.129,10000,74.708490,alarm
sachs,1,1,0.660000,0.000,0.051021575927734375,0.025210,sachs
sachs,2,2,0.650000,0.000,0.040851593017578125,0.025546,sachs
sachs,4,4,0.640000,0.000,0.05383777618408203,0.025776,sachs
sachs,8,8,0.550000,0.001,0.2172527313232422,0.013153,sachs
sachs,16,16,0.250000,0.005,10000,0.354229,sachs
sachs,32,32,0.100000,0.031,10000,0.619091,sachs
sachs,64,64,0.050000,0.077,10000,1.359906,sachs
sachs,128,89,0.020000,0.160,21.293405055999756,2.111629,sachs
hailfinder,32,32,0.600000,0.027,10000,0.446973,hailfinder
hailfinder,64,64,0.600000,0.197,10000,1.411009,hailfinder
hailfinder,128,128,0.600000,0.946,10000,9.139932,hailfinder
hailfinder,256,256,0.600000,3.444,10000,39.342014,hailfinder
hailfinder,512,512,0.600000,27.365,63.175801515579224,10000.000000,hailfinder
hailfinder,1024,853,0.600000,23.166,52.410083055496216,10000.000000,hailfinder
hailfinder,2048,853,0.600000,25.186,52.242977142333984,10000.000000,hailfinder
