networkname,networkinstance,realparamnum,threshhold,gdtime,psotime,qcqptime,scatterclass
hepar2,1,1,0.999900,0.001,1.7852847576141357,0.027421,hepar2
hepar2,2,2,0.999500,0.001,1.792942762374878,0.029914,hepar2
hepar2,4,4,0.999200,0.002,1.8394994735717773,0.036226,hepar2
hepar2,8,8,0.999000,0.002,1.8952882289886475,0.052793,hepar2
hepar2,16,16,0.998900,0.002,1.8809483051300049,0.031821,hepar2
hepar2,32,32,0.998800,0.034,2.5718185901641846,15.775101,hepar2
hepar2,64,64,0.998700,0.026,2.999939203262329,31.816881,hepar2
hepar2,128,128,0.998600,0.054,3.490770101547241,59.878325,hepar2
hepar2,256,256,0.100000,3.661,56.95721387863159,15.929323,hepar2
hepar2,512,256,0.050000,3.617,10000,16.289964,hepar2
