refinementfactor,covered,sat,unsat,unknownpercent,regionnum,time,mem
1, 0, 0, 0, 100, 1, 0.008, 79
0.99, 0.01, 0, 1.17188, 98.8281, 6631, 0.084, 81
0.98, 0.02, 0, 2.34375, 97.6562, 10966, 0.140, 101
0.97, 0.03, 0, 3.125, 96.875, 12496, 0.153, 104
0.96, 0.04, 0, 4.29688, 95.7031, 13261, 0.159, 107
0.95, 0.05, 0, 5.07812, 94.9219, 13261, 0.160, 106
0.94, 0.06, 0, 6.25, 93.75, 16321, 0.189, 115
0.93, 0.07, 0, 7.03125, 92.9688, 17086, 0.244, 131
0.92, 0.08, 0, 8.20312, 91.7969, 17341, 0.250, 132
0.91, 0.09, 0, 9.375, 90.625, 17851, 0.254, 134
0.9, 0.1, 0, 10.1562, 89.8438, 17851, 0.256, 133
0.89, 0.11, 0, 11.3281, 88.6719, 20401, 0.277, 141
0.88, 0.12, 0, 12.1094, 87.8906, 20911, 0.281, 143
0.87, 0.13, 0, 13.2812, 86.7188, 21676, 0.286, 144
0.86, 0.14, 0, 14.0625, 85.9375, 21676, 0.289, 144
0.85, 0.15, 0, 15.2344, 84.7656, 21931, 0.293, 145
0.84, 0.16, 0, 16.0156, 83.9844, 21931, 0.291, 145
0.83, 0.17, 0, 17.1875, 82.8125, 25501, 0.321, 154
0.82, 0.18, 0, 18.3594, 81.6406, 26776, 0.333, 158
0.81, 0.19, 0, 19.1406, 80.8594, 27286, 0.339, 159
0.8, 0.2, 0, 20.3125, 79.6875, 27286, 0.339, 159
0.79, 0.21, 0, 21.0938, 78.9062, 27286, 0.338, 159
0.78, 0.22, 0, 22.2656, 77.7344, 30346, 0.367, 168
0.77, 0.23, 0, 23.0469, 76.9531, 31111, 0.376, 169
0.76, 0.24, 0, 24.2188, 75.7812, 31366, 0.374, 170
0.75, 0.25, 0, 25, 75, 31876, 0.381, 171
0.74, 0.26, 0, 26.1719, 73.8281, 31876, 0.375, 171
0.73, 0.27, 0, 27.3438, 72.6562, 33406, 0.491, 205
0.72, 0.28, 0, 28.125, 71.875, 33916, 0.500, 207
0.71, 0.29, 0, 29.2969, 70.7031, 34171, 0.503, 207
0.7, 0.3, 0, 30.0781, 69.9219, 34681, 0.506, 208
0.69, 0.31, 0, 31.25, 68.75, 34681, 0.504, 208
0.68, 0.32, 0, 32.0312, 67.9688, 34681, 0.508, 208
0.67, 0.33, 0, 33.2031, 66.7969, 34681, 0.506, 208
0.66, 0.34, 0, 34.375, 65.625, 34681, 0.506, 209
0.65, 0.35, 0, 35.1562, 64.8438, 35446, 0.514, 210
0.64, 0.36, 0, 36.3281, 63.6719, 36466, 0.524, 212
0.63, 0.37, 0, 37.1094, 62.8906, 36466, 0.523, 213
0.62, 0.38, 0, 38.2812, 61.7188, 36466, 0.524, 213
0.61, 0.39, 0, 39.0625, 60.9375, 36721, 0.525, 213
0.6, 0.4, 0, 40.2344, 59.7656, 36721, 0.521, 213
0.59, 0.41, 0, 41.0156, 58.9844, 36721, 0.526, 214
0.58, 0.42, 0, 42.1875, 57.8125, 36721, 0.524, 213
0.57, 0.43, 0, 43.3594, 56.6406, 36721, 0.525, 213
0.56, 0.44, 0, 44.1406, 55.8594, 36721, 0.521, 213
0.55, 0.45, 0.00305176, 44.9982, 54.9988, 381991, 5.651, 1526
0.54, 0.46, 0.00305176, 45.9976, 53.9993, 571201, 9.391, 2525
0.53, 0.47, 0.00305176, 46.9971, 52.9999, 685951, 11.091, 2805
0.52, 0.48, 0.00305176, 47.998, 51.9989, 715531, 13.442, 2878
0.51, 0.49, 0.00305176, 48.9975, 50.9995, 750466, 15.342, 2963
0.5, 0.5, 0.00305176, 49.9969, 50, 757351, 12.870, 2979
0.49, 0.51, 0.00305176, 50.9979, 48.999, 1033261, 17.917, 3653
0.48, 0.52, 0.00305176, 51.9974, 47.9996, 1152601, 22.696, 5019
0.47, 0.53, 0.00305176, 52.9984, 46.9986, 1196971, 23.055, 5127
0.46, 0.54, 0.00305176, 53.9978, 45.9991, 1267861, 21.942, 5301
0.45, 0.55, 0.00305176, 54.9973, 44.9997, 1280866, 22.282, 5332
0.44, 0.56, 0.00305176, 55.9982, 43.9987, 1302031, 22.712, 5384
0.43, 0.57, 0.00305176, 56.9977, 42.9993, 1432846, 24.219, 5703
0.42, 0.58, 0.00305176, 57.9971, 41.9998, 1481806, 26.251, 5812
0.41, 0.59, 0.00305176, 58.9981, 40.9988, 1547341, 26.675, 5982
0.4, 0.6, 0.00305176, 59.9976, 39.9994, 1575646, 26.087, 6049
0.39, 0.61, 0.00305176, 60.997, 38.9999, 1579726, 26.542, 6062
0.38, 0.62, 0.00305176, 61.998, 37.999, 1665406, 27.890, 6261
0.37, 0.63, 0.00305176, 62.9974, 36.9995, 1702381, 28.410, 6349
0.36, 0.64, 0.00305176, 63.9984, 35.9985, 1735531, 28.791, 6437
0.35, 0.65, 0.00305176, 64.9979, 34.9991, 1749556, 28.838, 6472
0.34, 0.66, 0.00305176, 65.9973, 33.9996, 1762306, 29.556, 6503
0.33, 0.67, 0.00305176, 66.9983, 32.9987, 1763326, 29.920, 6506
