refinementfactor,covered,sat,unsat,unknownpercent,regionnum,time,mem
1, 0, 0, 0, 100, 1, 0.006, 64
0.99, 0.01, 0, 1.17188, 98.8281, 1021, 0.020, 64
0.98, 0.02, 0, 2.34375, 97.6562, 1786, 0.019, 64
0.97, 0.03, 0, 3.125, 96.875, 2296, 0.030, 63
0.96, 0.04, 0, 4.29688, 95.7031, 3061, 0.035, 65
0.95, 0.05, 0, 5.07812, 94.9219, 3571, 0.039, 66
0.94, 0.06, 0, 6.25, 93.75, 4336, 0.057, 72
0.93, 0.07, 0, 7.03125, 92.9688, 4846, 0.061, 73
0.92, 0.08, 0, 8.20312, 91.7969, 5611, 0.073, 76
0.91, 0.09, 0, 9.375, 90.625, 6376, 0.079, 77
0.9, 0.1, 0, 10.1562, 89.8438, 6886, 0.098, 79
0.89, 0.11, 0, 11.3281, 88.6719, 7651, 0.109, 81
0.88, 0.12, 0, 12.1094, 87.8906, 8161, 0.090, 82
0.87, 0.13, 0, 13.2812, 86.7188, 8926, 0.125, 91
0.86, 0.14, 0, 14.0625, 85.9375, 9436, 0.134, 93
0.85, 0.15, 0, 15.2344, 84.7656, 10201, 0.139, 95
0.84, 0.16, 0, 16.0156, 83.9844, 10711, 0.143, 96
0.83, 0.17, 0, 17.1875, 82.8125, 11476, 0.141, 98
0.82, 0.18, 0, 18.3594, 81.6406, 12241, 0.152, 101
0.81, 0.19, 0, 19.1406, 80.8594, 12751, 0.162, 102
0.8, 0.2, 0, 20.3125, 79.6875, 13516, 0.165, 104
0.79, 0.21, 0, 21.0938, 78.9062, 14026, 0.170, 105
0.78, 0.22, 0, 22.2656, 77.7344, 14791, 0.181, 107
0.77, 0.23, 0, 23.0469, 76.9531, 15301, 0.176, 108
0.76, 0.24, 0, 24.2188, 75.7812, 16066, 0.196, 111
0.75, 0.25, 0, 25, 75, 16576, 0.277, 127
0.74, 0.26, 0, 26.1719, 73.8281, 17341, 0.265, 128
0.73, 0.27, 0, 27.3438, 72.6562, 18106, 0.270, 131
0.72, 0.28, 0, 28.125, 71.875, 18616, 0.263, 133
0.71, 0.29, 0, 29.2969, 70.7031, 19381, 0.279, 134
0.7, 0.3, 0, 30.0781, 69.9219, 19891, 0.305, 136
0.69, 0.31, 0, 31.25, 68.75, 20656, 0.362, 138
0.68, 0.32, 0, 32.0312, 67.9688, 21166, 0.330, 139
0.67, 0.33, 0, 33.2031, 66.7969, 21931, 0.317, 141
0.66, 0.34, 0, 34.375, 65.625, 22696, 0.303, 143
0.65, 0.35, 0, 35.1562, 64.8438, 23206, 0.320, 144
0.64, 0.36, 0, 36.3281, 63.6719, 23971, 0.301, 147
0.63, 0.37, 0, 37.1094, 62.8906, 24481, 0.317, 148
0.62, 0.38, 0, 38.2812, 61.7188, 25246, 0.331, 150
0.61, 0.39, 0, 39.0625, 60.9375, 25756, 0.316, 151
0.6, 0.4, 0, 40.2344, 59.7656, 26521, 0.349, 153
0.59, 0.41, 0, 41.0156, 58.9844, 27031, 0.349, 155
0.58, 0.42, 0, 42.1875, 57.8125, 27796, 0.334, 157
0.57, 0.43, 0, 43.3594, 56.6406, 28561, 0.365, 159
0.56, 0.44, 0, 44.1406, 55.8594, 29071, 0.401, 161
0.55, 0.45, 0, 45.3125, 54.6875, 29836, 0.439, 163
0.54, 0.46, 0, 46.0938, 53.9062, 30346, 0.387, 164
0.53, 0.47, 0, 47.2656, 52.7344, 31111, 0.380, 166
0.52, 0.48, 0, 48.0469, 51.9531, 31621, 0.394, 167
0.51, 0.49, 0, 49.2188, 50.7812, 32386, 0.383, 169
0.5, 0.5, 0, 50, 50, 32896, 0.479, 200
0.49, 0.51, 0.918579, 50.0824, 48.999, 432991, 6.535, 1647
0.48, 0.52, 1.46942, 50.531, 47.9996, 808606, 12.433, 3102
0.47, 0.53, 2.23999, 50.7614, 46.9986, 1309681, 22.524, 5311
