network,agnostic,tailored,scatterclass
asia,0.013,0.104,qual1
asia,0.013,0.012,qual10
asia,0.013,0.012,qual30
alarm,0.044,0.011,qual1
alarm,0.041,0.030,qual10
alarm,0.037,0.034,qual30
cancer,0.013,0.012,qual1
cancer,0.012,0.012,qual10
cancer,0.012,0.012,qual30
child,0.026,0.016,qual1
child,0.026,0.017,qual10
child,0.019,0.014,qual30
earthquake,0.012,0.012,qual1
earthquake,0.012,0.012,qual10
earthquake,0.013,0.012,qual30
insurance,0.064,0.022,qual1
insurance,0.125,0.022,qual10
insurance,0.031,0.036,qual30
sachs,0.019,0.014,qual1
sachs,0.019,0.017,qual10
sachs,0.015,0.014,qual30
andes,39.331,2.481,qual1
andes,35.923,9.148,qual10
andes,2.127,0.618,qual30
hepar2,0.191,0.021,qual1
hepar2,0.161,0.064,qual10
hepar2,0.059,0.033,qual30
