network,agnostic,tailored,scatterclass
asia,0.01,0.01,qual1
asia,0.01,0.01,qual10
asia,0.01,0.01,qual30
alarm,0.01,0.01,qual1
alarm,0.01,0.01,qual10
alarm,0.01,0.01,qual30
cancer,0.01,0.01,qual1
cancer,0.01,0.01,qual10
cancer,0.01,0.01,qual30
child,0.01,0.01,qual1
child,0.01,0.01,qual10
child,0.01,0.01,qual30
earthquake,0.01,0.01,qual1
earthquake,0.01,0.01,qual10
earthquake,0.01,0.01,qual30
insurance,0.01,0.01,qual1
insurance,0.012,0.01,qual10
insurance,0.01,0.01,qual30
sachs,0.01,0.01,qual1
sachs,0.01,0.01,qual10
sachs,0.01,0.01,qual30
andes,4.482,0.280,qual1
andes,5.109,0.669,qual10
andes,0.325,0.041,qual30
hepar2,0.01,0.01,qual1
hepar2,0.012,0.01,qual10
hepar2,0.01,0.01,qual30
