network,agnostic,tailored,scatterclass
asia,31,25,qual1
asia,31,25,qual10
asia,25,16,qual30
alarm,1148,4,qual1
alarm,1211,376,qual10
alarm,966,286,qual30
cancer,15,9,qual1
cancer,19,10,qual10
cancer,13,8,qual30
child,1450,64,qual1
child,1450,156,qual10
child,284,21,qual30
earthquake,13,8,qual1
earthquake,13,7,qual10
earthquake,13,8,qual30
insurance,5787,336,qual1
insurance,16896,290,qual10
insurance,703,450,qual30
sachs,130,25,qual1
sachs,130,64,qual10
sachs,40,14,qual30
andes,5613843,304029,qual1
andes,4602595,732396,qual10
andes,298327,47793,qual30
hepar2,11626,4,qual1
hepar2,11338,1898,qual10
hepar2,1132,205,qual30
